YEAR,STATE,SEX,AGE GROUP,REGISTRATIONS
2022,Kedah,Female,Adolescent,1797
2022,Kedah,Female,Adult,2948
2022,Kedah,Female,Elderly,1312
2022,Kedah,Male,Child,16157
2022,Kedah,Male,Adolescent,1947
2022,Kedah,Male,Adult,4020
2022,Kedah,Male,Elderly,1005
2022,Kelantan,Female,Child,4204
2022,Kelantan,Female,Adolescent,928
2022,Kelantan,Female,Adult,1873
2022,Kelantan,Female,Elderly,837
2022,Kelantan,Male,Child,4407
2022,Kelantan,Male,Adolescent,1024
2022,Kelantan,Male,Adult,2397
2022,Kelantan,Male,Elderly,659
2022,Melaka,Female,Child,14163
2022,Melaka,Female,Adolescent,946
2022,Melaka,Female,Adult,1439
2022,Melaka,Female,Elderly,649
2022,Melaka,Male,Child,14683
2022,Melaka,Male,Adolescent,1013
2022,Melaka,Male,Adult,2075
2022,Melaka,Male,Elderly,476
2022,Negeri Sembilan,Female,Child,12507
2022,Negeri Sembilan,Female,Adolescent,1111
2022,Negeri Sembilan,Female,Adult,1996
2022,Negeri Sembilan,Female,Elderly,948
2022,Negeri Sembilan,Male,Child,13144
2022,Negeri Sembilan,Male,Adolescent,1277
2022,Negeri Sembilan,Male,Adult,3064
2022,Negeri Sembilan,Male,Elderly,777
2022,Pahang,Female,Child,10572
2022,Pahang,Female,Adolescent,1197
2022,Pahang,Female,Adult,2253
2022,Pahang,Female,Elderly,911
2022,Pahang,Male,Child,10778
2022,Pahang,Male,Adolescent,1245
2022,Pahang,Male,Adult,5179
2022,Pahang,Male,Elderly,822
2022,Perak,Female,Child,23235
2022,Perak,Female,Adolescent,2253
2022,Perak,Female,Adult,5074
2022,Perak,Female,Elderly,2502
2022,Perak,Male,Child,24004
2022,Perak,Male,Adolescent,2418
2022,Perak,Male,Adult,8279
2022,Perak,Male,Elderly,2012
2022,Perlis,Female,Child,1615
2022,Perlis,Female,Adolescent,177
2022,Perlis,Female,Adult,297
2022,Perlis,Female,Elderly,116
2022,Perlis,Male,Child,1659
2022,Perlis,Male,Adolescent,149
2022,Perlis,Male,Adult,362
2022,Perlis,Male,Elderly,98
2022,Pulau Pinang,Female,Child,22060
2022,Pulau Pinang,Female,Adolescent,1451
2022,Pulau Pinang,Female,Adult,3428
2022,Pulau Pinang,Female,Elderly,1641
2022,Pulau Pinang,Male,Child,22719
2022,Pulau Pinang,Male,Adolescent,1699
2022,Pulau Pinang,Male,Adult,5223
2022,Pulau Pinang,Male,Elderly,1138
2022,Sabah,Female,Child,9936
2022,Sabah,Female,Adolescent,2110
2022,Sabah,Female,Adult,6165
2022,Sabah,Female,Elderly,1294
2022,Sabah,Male,Child,10096
2022,Sabah,Male,Adolescent,2130
2022,Sabah,Male,Adult,6843
2022,Sabah,Male,Elderly,1251
2022,Sarawak,Female,Child,30628
2022,Sarawak,Female,Adolescent,2116
2022,Sarawak,Female,Adult,3710
2022,Sarawak,Female,Elderly,1198
2022,Sarawak,Male,Child,32038
2022,Sarawak,Male,Adolescent,2279
2022,Sarawak,Male,Adult,5653
2022,Sarawak,Male,Elderly,1028
