YEAR,STATE,SEX,AGE,REGISTRATIONS
2021,Negeri Sembilan,male,65-69,20677
2021,Negeri Sembilan,male,70-74,11838
2021,Negeri Sembilan,male,75-79,5031
2021,Negeri Sembilan,male,80-84,2879
2021,Negeri Sembilan,male,85+,1303
2021,Pahang,female,0-12,16571
2021,Pahang,female,12-17,70780
2021,Pahang,female,18-24,80573
2021,Pahang,female,25-29,52039
2021,Pahang,female,30-34,51858
2021,Pahang,female,35-39,49292
2021,Pahang,female,40-44,40127
2021,Pahang,female,45-49,35658
2021,Pahang,female,50-54,33000
2021,Pahang,female,55-59,30477
2021,Pahang,female,60-64,23801
2021,Pahang,female,65-69,17919
2021,Pahang,female,70-74,13258
2021,Pahang,female,75-79,6821
2021,Pahang,female,80-84,4420
2021,Pahang,female,85+,1974
2021,Pahang,male,0-12,17143
2021,Pahang,male,12-17,72360
2021,Pahang,male,18-24,90960
2021,Pahang,male,25-29,66538
2021,Pahang,male,30-34,65847
2021,Pahang,male,35-39,62132
2021,Pahang,male,40-44,48638
2021,Pahang,male,45-49,38024
2021,Pahang,male,50-54,32449
2021,Pahang,male,55-59,28746
2021,Pahang,male,60-64,22264
2021,Pahang,male,65-69,16077
2021,Pahang,male,70-74,12197
2021,Pahang,male,75-79,6233
2021,Pahang,male,80-84,3308
2021,Pahang,male,85+,1284
2021,Perak,female,0-12,16639
2021,Perak,female,12-17,104674
2021,Perak,female,18-24,133206
2021,Perak,female,25-29,80922
2021,Perak,female,30-34,77592
2021,Perak,female,35-39,77775
2021,Perak,female,40-44,67416
2021,Perak,female,45-49,64704
2021,Perak,female,50-54,63536
2021,Perak,female,55-59,62235
2021,Perak,female,60-64,53827
2021,Perak,female,65-69,41531
2021,Perak,female,70-74,30298
2021,Perak,female,75-79,16307
2021,Perak,female,80-84,10633
2021,Perak,female,85+,6383
2021,Perak,male,0-12,17458
2021,Perak,male,12-17,107914
2021,Perak,male,18-24,147012
2021,Perak,male,25-29,99676
2021,Perak,male,30-34,91513
2021,Perak,male,35-39,88371
2021,Perak,male,40-44,71626
2021,Perak,male,45-49,61146
2021,Perak,male,50-54,58446
2021,Perak,male,55-59,54948
2021,Perak,male,60-64,48480
2021,Perak,male,65-69,36827
2021,Perak,male,70-74,25761
2021,Perak,male,75-79,12965
2021,Perak,male,80-84,7497
2021,Perak,male,85+,3690
2021,Perlis,female,0-12,1275
2021,Perlis,female,12-17,11338
2021,Perlis,female,18-24,16160
2021,Perlis,female,25-29,9609
2021,Perlis,female,30-34,9529
2021,Perlis,female,35-39,8632
2021,Perlis,female,40-44,6846
2021,Perlis,female,45-49,6071
2021,Perlis,female,50-54,6036
2021,Perlis,female,55-59,5909
2021,Perlis,female,60-64,4818
2021,Perlis,female,65-69,3897
2021,Perlis,female,70-74,2609
2021,Perlis,female,75-79,1510
2021,Perlis,female,80-84,899
2021,Perlis,female,85+,586
2021,Perlis,male,0-12,1394
2021,Perlis,male,12-17,11188
2021,Perlis,male,18-24,15983
2021,Perlis,male,25-29,9858
2021,Perlis,male,30-34,9354
2021,Perlis,male,35-39,8505
2021,Perlis,male,40-44,6479
2021,Perlis,male,45-49,5488
2021,Perlis,male,50-54,5423
2021,Perlis,male,55-59,5095
2021,Perlis,male,60-64,4264
2021,Perlis,male,65-69,3213
2021,Perlis,male,70-74,2248
2021,Perlis,male,75-79,1207
2021,Perlis,male,80-84,640
2021,Perlis,male,85+,303
2021,Pulau Pinang,female,0-12,19851
2021,Pulau Pinang,female,12-17,75372
2021,Pulau Pinang,female,18-24,115353
2021,Pulau Pinang,female,25-29,79021
2021,Pulau Pinang,female,30-34,69198
2021,Pulau Pinang,female,35-39,69897
2021,Pulau Pinang,female,40-44,64332
2021,Pulau Pinang,female,45-49,58947
2021,Pulau Pinang,female,50-54,51811
2021,Pulau Pinang,female,55-59,46774
2021,Pulau Pinang,female,60-64,40138
2021,Pulau Pinang,female,65-69,32712
2021,Pulau Pinang,female,70-74,24200
2021,Pulau Pinang,female,75-79,13709
2021,Pulau Pinang,female,80-84,8467
2021,Pulau Pinang,female,85+,4950
2021,Pulau Pinang,male,0-12,20386
2021,Pulau Pinang,male,12-17,80216
2021,Pulau Pinang,male,18-24,121365
2021,Pulau Pinang,male,25-29,100832
2021,Pulau Pinang,male,30-34,88910
2021,Pulau Pinang,male,35-39,81175
2021,Pulau Pinang,male,40-44,68366
2021,Pulau Pinang,male,45-49,56579
2021,Pulau Pinang,male,50-54,48443
2021,Pulau Pinang,male,55-59,42321
2021,Pulau Pinang,male,60-64,34303
2021,Pulau Pinang,male,65-69,26869
2021,Pulau Pinang,male,70-74,19046
2021,Pulau Pinang,male,75-79,10105
2021,Pulau Pinang,male,80-84,5623
2021,Pulau Pinang,male,85+,2654
2021,Sabah,female,0-12,14436
2021,Sabah,female,12-17,127656
2021,Sabah,female,18-24,178812
2021,Sabah,female,25-29,119632
2021,Sabah,female,30-34,105443
2021,Sabah,female,35-39,95458
2021,Sabah,female,40-44,78471
2021,Sabah,female,45-49,68066
2021,Sabah,female,50-54,60820
2021,Sabah,female,55-59,47193
2021,Sabah,female,60-64,37836
2021,Sabah,female,65-69,23171
2021,Sabah,female,70-74,13826
2021,Sabah,female,75-79,7274
2021,Sabah,female,80-84,4624
2021,Sabah,female,85+,2515
2021,Sabah,male,0-12,14764
2021,Sabah,male,12-17,125430
2021,Sabah,male,18-24,176538
2021,Sabah,male,25-29,121637
2021,Sabah,male,30-34,109237
2021,Sabah,male,35-39,96046
2021,Sabah,male,40-44,76844
2021,Sabah,male,45-49,64867
2021,Sabah,male,50-54,58984
2021,Sabah,male,55-59,46646
2021,Sabah,male,60-64,37771
2021,Sabah,male,65-69,23540
2021,Sabah,male,70-74,13450
2021,Sabah,male,75-79,6910
2021,Sabah,male,80-84,3788
2021,Sabah,male,85+,1849
2021,Sarawak,female,0-12,21607
2021,Sarawak,female,12-17,116094
2021,Sarawak,female,18-24,136056
2021,Sarawak,female,25-29,92237
2021,Sarawak,female,30-34,83858
2021,Sarawak,female,35-39,76246
2021,Sarawak,female,40-44,68493
2021,Sarawak,female,45-49,65786
2021,Sarawak,female,50-54,60913
2021,Sarawak,female,55-59,53014
2021,Sarawak,female,60-64,43752
2021,Sarawak,female,65-69,32961
2021,Sarawak,female,70-74,20782
2021,Sarawak,female,75-79,12453
2021,Sarawak,female,80-84,7189
2021,Sarawak,female,85+,4774
2021,Sarawak,male,0-12,22356
2021,Sarawak,male,12-17,116769
2021,Sarawak,male,18-24,137663
2021,Sarawak,male,25-29,96598
2021,Sarawak,male,30-34,88633
2021,Sarawak,male,35-39,78362
2021,Sarawak,male,40-44,67416
2021,Sarawak,male,45-49,63413
2021,Sarawak,male,50-54,58576
2021,Sarawak,male,55-59,50905
2021,Sarawak,male,60-64,41929
2021,Sarawak,male,65-69,32558
2021,Sarawak,male,70-74,19261
2021,Sarawak,male,75-79,10493
2021,Sarawak,male,80-84,5262
2021,Sarawak,male,85+,2992
2021,Selangor,female,0-12,68365
2021,Selangor,female,12-17,305603
2021,Selangor,female,18-24,396932
2021,Selangor,female,25-29,312533
2021,Selangor,female,30-34,293346
2021,Selangor,female,35-39,285027
2021,Selangor,female,40-44,246576
2021,Selangor,female,45-49,207146
2021,Selangor,female,50-54,168887
2021,Selangor,female,55-59,142817
2021,Selangor,female,60-64,117712
2021,Selangor,female,65-69,88249
2021,Selangor,female,70-74,61178
2021,Selangor,female,75-79,31071
2021,Selangor,female,80-84,20873
2021,Selangor,female,85+,11957
2021,Selangor,male,0-12,72379
2021,Selangor,male,12-17,324979
2021,Selangor,male,18-24,493314
2021,Selangor,male,25-29,445477
2021,Selangor,male,30-34,403594
2021,Selangor,male,35-39,362086
2021,Selangor,male,40-44,284805
2021,Selangor,male,45-49,215550
2021,Selangor,male,50-54,169269
2021,Selangor,male,55-59,135597
2021,Selangor,male,60-64,106079
2021,Selangor,male,65-69,76545
2021,Selangor,male,70-74,49943
2021,Selangor,male,75-79,23566
2021,Selangor,male,80-84,13404
2021,Selangor,male,85+,6372
2021,Terengganu,female,0-12,13104
2021,Terengganu,female,12-17,61530
2021,Terengganu,female,18-24,75609
2021,Terengganu,female,25-29,45632
2021,Terengganu,female,30-34,41850
2021,Terengganu,female,35-39,37314
2021,Terengganu,female,40-44,29355
2021,Terengganu,female,45-49,26854
2021,Terengganu,female,50-54,24345
2021,Terengganu,female,55-59,22160
2021,Terengganu,female,60-64,17744
2021,Terengganu,female,65-69,12137
2021,Terengganu,female,70-74,6989
2021,Terengganu,female,75-79,4494
2021,Terengganu,female,80-84,2588
2021,Terengganu,female,85+,1004
2021,Terengganu,male,0-12,13139
2021,Terengganu,male,12-17,60916
2021,Terengganu,male,18-24,73536
2021,Terengganu,male,25-29,47207
2021,Terengganu,male,30-34,44609
2021,Terengganu,male,35-39,38880
2021,Terengganu,male,40-44,29813
2021,Terengganu,male,45-49,24278
2021,Terengganu,male,50-54,21779
2021,Terengganu,male,55-59,19569
2021,Terengganu,male,60-64,15840
2021,Terengganu,male,65-69,11108
2021,Terengganu,male,70-74,6370
2021,Terengganu,male,75-79,3521
2021,Terengganu,male,80-84,1556
2021,Terengganu,male,85+,593
2021,W.P. Kuala Lumpur,female,0-12,23771
2021,W.P. Kuala Lumpur,female,12-17,84865
2021,W.P. Kuala Lumpur,female,18-24,137634
2021,W.P. Kuala Lumpur,female,25-29,135428
2021,W.P. Kuala Lumpur,female,30-34,126153
2021,W.P. Kuala Lumpur,female,35-39,116286
2021,W.P. Kuala Lumpur,female,40-44,96113
2021,W.P. Kuala Lumpur,female,45-49,78109
2021,W.P. Kuala Lumpur,female,50-54,65933
